CVE,Description,Chains,Weakness_Description,ROOTCAUSE,WEAKNESS,IMPACT,VECTOR,ATTACKER,PRODUCT,VERSION,COMPONENT,missing,extra
CVE-2022-30305,"An insufficient logging [CWE-778] vulnerability in FortiSandbox versions 4.0.0 to 4.0.2, 3.2.0 to 3.2.3 and 3.1.0 to 3.1.5 and FortiDeceptor versions 4.2.0, 4.1.0 through 4.1.1, 4.0.0 through 4.0.2, 3.3.0 through 3.3.3, 3.2.0 through 3.2.2,3.1.0 through 3.1.1 and 3.0.0 through 3.0.2 may allow a remote attacker to repeatedly enter incorrect credentials without causing a log entry, and with no limit on the number of failed authentication attempts.",,An insufficient logging [CWE-778] vulnerability ... may allow ... attacker to repeatedly enter incorrect credentials ... with no limit on the number of failed authentication attempts. ,insufficient logging,,repeatedly enter incorrect credentials without log entry,,,FortiSandbox|FortiDeceptor,,,"failed, 778, of, authentication, no, on, may, to, the, cwe, with, , attacker, an, number, attempts, limit, allow","entry, nan, log, without"
CVE-2022-3083,All versions of Landis+Gyr E850 (ZMQ200) are vulnerable to CWE-784: Reliance on Cookies Without Validation and Integrity. The device's web application navigation depends on the value of the session cookie. The web application could become inaccessible for the user if an attacker changes the cookie values. ,,are vulnerable to CWE-784: Reliance on Cookies Without Validation and Integrity,reliance on cookies without validation and integrity,,make web application inaccessible,change cookie values,attacker,Landis+Gyr E850 (ZMQ200),All versions,web application,,"web, inaccessible, nan, application, make"
CVE-2022-31098,"Weave GitOps is a simple open source developer platform for people who want cloud native applications, without needing Kubernetes expertise. A vulnerability in the logging of Weave GitOps could allow an authenticated remote attacker to view sensitive cluster configurations, aka KubeConfg, of registered Kubernetes clusters, including the service account tokens in plain text from Weave GitOps's pod logs on the management cluster. An unauthorized remote attacker can also view these sensitive configurations from external log storage if enabled by the management cluster. This vulnerability is due to the client factory dumping cluster configurations and their service account tokens when the cluster manager tries to connect to an API server of a registered cluster, and a connection error occurs. An attacker could exploit this vulnerability by either accessing logs of a pod of Weave GitOps, or from external log storage and obtaining all cluster configurations of registered clusters. A successful exploit could allow the attacker to use those cluster configurations to manage the registered Kubernetes clusters. This vulnerability has been fixed by commit 567356f471353fb5c676c77f5abc2a04631d50ca. Users should upgrade to Weave GitOps core version v0.8.1-rc.6 or newer. There is no known workaround for this vulnerability.",,A vulnerability in the logging ... due to the client factory dumping cluster configurations and their service account tokens,improper logging,,view sensitive cluster configurations,,,Weave GitOps,prior to v0.8.1-rc.6,,"their, service, due, a, dumping, in, to, tokens, , client, and, account, factory, the","view, sensitive, nan, improper"
CVE-2022-31466,"Time of Check - Time of Use (TOCTOU) vulnerability in Quick Heal Total Security prior to 12.1.1.27 allows a local attacker to achieve privilege escalation, potentially leading to deletion of system files. This is achieved through exploiting the time between detecting a file as malicious and when the action of quarantining or cleaning is performed, and using the time to replace the malicious file by a symlink.",,Time of Check - Time of Use (TOCTOU) vulnerability,TOCTOU race condition,,privilege escalation|deletion of system files,replace malicious file with symlink,local attacker,Quick Heal Total Security,prior to 12.1.1.27,,,"condition, files, deletion, nan, escalation, race, privilege, system"
CVE-2022-31621,"MariaDB Server before 10.7 is vulnerable to Denial of Service. In extra/mariabackup/ds_xbstream.cc, when an error occurs (stream_ctxt->dest_file == NULL) while executing the method xbstream_open, the held lock is not released correctly, which allows local users to trigger a denial of service due to the deadlock. Note: The vendor argues this is just an improper locking bug and not a vulnerability with adverse effects.",,the held lock is not released correctly... deadlock,improper lock management,deadlock,denial of service,,,MariaDB Server,before 10.7,extra/mariabackup/ds_xbstream.cc,,"service, of, improper, nan, management, denial"
CVE-2022-31622,"MariaDB Server before 10.7 is vulnerable to Denial of Service. In extra/mariabackup/ds_compress.cc, when an error occurs (pthread_create returns a nonzero value) while executing the method create_worker_threads, the held lock is not released correctly, which allows local users to trigger a denial of service due to the deadlock. Note: The vendor argues this is just an improper locking bug and not a vulnerability with adverse effects.",,the held lock is not released correctly... deadlock,improper lock management,deadlock,denial of service,,,MariaDB Server,before 10.7,extra/mariabackup/ds_compress.cc,,"service, of, improper, nan, management, denial"
CVE-2022-31623,"MariaDB Server before 10.7 is vulnerable to Denial of Service. In extra/mariabackup/ds_compress.cc, when an error occurs (i.e., going to the err label) while executing the method create_worker_threads, the held lock thd->ctrl_mutex is not released correctly, which allows local users to trigger a denial of service due to the deadlock. Note: The vendor argues this is just an improper locking bug and not a vulnerability with adverse effects.",,the held lock is not released correctly... deadlock,improper lock management,deadlock,denial of service,,,MariaDB Server,before 10.7,extra/mariabackup/ds_compress.cc,,"service, of, improper, nan, management, denial"
CVE-2022-31624,"MariaDB Server before 10.7 is vulnerable to Denial of Service. While executing the plugin/server_audit/server_audit.c method log_statement_ex, the held lock lock_bigbuffer is not released correctly, which allows local users to trigger a denial of service due to the deadlock.",,the held lock... is not released correctly... deadlock,improper lock management,deadlock,denial of service,,,MariaDB Server,before 10.7,plugin/server_audit/server_audit.c,,"service, of, improper, nan, management, denial"
CVE-2022-32266,"DMA attacks on the parameter buffer used by a software SMI handler used by the driver PcdSmmDxe could lead to a TOCTOU attack on the SMI handler and lead to corruption of other ACPI fields and adjacent memory fields. DMA attacks on the parameter buffer used by a software SMI handler used by the driver PcdSmmDxe could lead to a TOCTOU attack on the SMI handler and lead to corruption of other ACPI fields and adjacent memory fields. The attack would require detailed knowledge of the PCD database contents on the current platform. This issue was discovered by Insyde engineering during a security review. This issue is fixed in Kernel 5.3: 05.36.23, Kernel 5.4: 05.44.23, Kernel 5.5: 05.52.23. Kernel 5.2 is unaffected. CWE-787 An issue was discovered in Insyde InsydeH2O with kernel 5.0 through 5.5. DMA attacks on the parameter buffer that is used by a software SMI handler (used by the PcdSmmDxe driver) could lead to a TOCTOU race-condition attack on the SMI handler, and lead to corruption of other ACPI fields and adjacent memory fields. The attack would require detailed knowledge of the PCD database contents on the current platform.",,attacks on the parameter buffer ... could lead to a TOCTOU attack,TOCTOU race condition,,corruption of ACPI fields and adjacent memory,DMA attacks on parameter buffer,,Insyde InsydeH2O,kernel 5.0 through 5.5,PcdSmmDxe driver,"attacks, buffer, on, lead, to, attack, parameter, a, could, the","condition, fields, memory, of, corruption, adjacent, nan, race, acpi, and"
CVE-2022-32519,A CWE-257: Storing Passwords in a Recoverable Format vulnerability exists that could result in unwanted access to a DCE instance when performed over a network by a malicious third-party. Affected Products: Data Center Expert (Versions prior to V7.9.0),,A CWE-257: Storing Passwords in a Recoverable Format vulnerability exists,storing passwords in recoverable format,,unwanted access to DCE instance,,,Data Center Expert,Versions prior to V7.9.0,,"exists, 257, cwe, , a","dce, nan, to, instance, access, unwanted"
CVE-2022-32844,"A race condition was addressed with improved state handling. This issue is fixed in tvOS 15.6, watchOS 8.7, iOS 15.6 and iPadOS 15.6. An app with arbitrary kernel read and write capability may be able to bypass Pointer Authentication.",,A race condition was addressed,race condition,,bypass Pointer Authentication,,,tvOS|watchOS|iOS|iPadOS,15.6|8.7|15.6|15.6,,,"nan, bypass, authentication, pointer"
CVE-2022-33691,A possible race condition vulnerability in score driver prior to SMR Jul-2022 Release 1 can allow local attackers to interleave malicious operations.,,TOCTOU,race condition,,interleave malicious operations,,local attackers,score driver,prior to SMR Jul-2022 Release 1,,,"condition, nan, operations, race, malicious, interleave"
